Customer ID,Age,Gender,Item Purchased,Category,"Purchase 
Amount (USD)",Location,Size,Color,Season,"Review 
Rating","Subscription 
Status","Payment 
Method","Shipping 
Type","Discount 
Applied","Promo Code
 Used","Previous
 Purchases","Preferred Payment
 Method","Frequency of
 Purchases","Previous Purchased 
Amount (USD)","Average 
Order Value (USD)","Total Sales 
Revenue Per Customer (USD)",Time spend on website  Minutes, clicks ,total number of impressions,Click-through rate (CTR),Website Traffic,"Conversion
 Rate %"
1,55,Male,Blouse,Clothing,$53.00,Kentucky,L,Gray,Winter,3.1,Yes,Credit Card,Express,Yes,Yes,14,Venmo,Fortnightly,$554.00,$40.47,$607.00,55,2,95,2.11%,61,3.28%
2,19,Male,Sweater,Clothing,$64.00,Maine,L,Maroon,Winter,3.1,Yes,Bank Transfer,Express,Yes,Yes,2,Cash,Fortnightly,$122.00,$62.00,$186.00,31,2,230,0.87%,41,4.88%
3,50,Male,Jeans,Clothing,$73.00,Massachusetts,S,Maroon,Spring,3.1,Yes,Cash,Free Shipping,Yes,Yes,23,Credit Card,Weekly,$579.00,$27.17,$652.00,31,1,213,0.47%,106,0.94%
4,21,Male,Sandals,Footwear,$90.00,Rhode Island,M,Maroon,Spring,3.5,Yes,PayPal,Next Day Air,Yes,Yes,49,PayPal,Weekly,$600.00,$13.80,$690.00,16,0,173,0.00%,25,0.00%
5,45,Male,Blouse,Clothing,$49.00,Oregon,M,Turquoise,Spring,2.7,Yes,Cash,Free Shipping,Yes,Yes,31,PayPal,Annually,$378.00,$13.34,$427.00,20,1,337,0.30%,13,7.69%
6,46,Male,Sneakers,Footwear,$20.00,Wyoming,M,White,Summer,2.9,Yes,Venmo,Standard,Yes,Yes,14,Venmo,Weekly,$280.00,$20.00,$300.00,21,0,254,0.00%,18,0.00%
7,63,Male,Shirt,Clothing,$85.00,Montana,M,Gray,Fall,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,49,Cash,Quarterly,$300.00,$7.70,$385.00,80,1,311,0.32%,117,0.85%
8,27,Male,Shorts,Clothing,$34.00,Louisiana,L,Charcoal,Winter,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,19,Credit Card,Weekly,$412.00,$22.30,$446.00,34,1,318,0.31%,91,1.10%
9,26,Male,Coat,Outerwear,$97.00,West Virginia,L,Silver,Summer,2.6,Yes,Venmo,Express,Yes,Yes,8,Venmo,Annually,$582.00,$75.44,$679.00,19,0,156,0.00%,47,0.00%
10,57,Male,Handbag,Accessories,$31.00,Missouri,M,Pink,Spring,4.8,Yes,PayPal,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,$244.00,$55.00,$275.00,11,1,259,0.39%,61,1.64%
11,53,Male,Shoes,Footwear,$34.00,Arkansas,L,Purple,Fall,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,$405.00,$16.26,$439.00,65,2,226,0.88%,34,5.88%
12,30,Male,Shorts,Clothing,$68.00,Hawaii,S,Olive,Winter,4.9,Yes,PayPal,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,$588.00,$59.64,$656.00,89,0,347,0.00%,103,0.00%
13,61,Male,Coat,Outerwear,$72.00,Delaware,M,Gold,Winter,4.5,Yes,PayPal,Express,Yes,Yes,37,Venmo,Fortnightly,$418.00,$12.89,$490.00,98,1,210,0.48%,78,1.28%
14,65,Male,Dress,Clothing,$51.00,New Hampshire,M,Violet,Spring,4.7,Yes,Debit Card,Express,Yes,Yes,31,PayPal,Weekly,$352.00,$12.59,$403.00,69,1,202,0.50%,70,1.43%
15,64,Male,Coat,Outerwear,$53.00,New York,L,Teal,Winter,4.7,Yes,PayPal,Free Shipping,Yes,Yes,34,Debit Card,Weekly,$156.00,$5.97,$209.00,39,0,292,0.00%,85,0.00%
16,64,Male,Skirt,Clothing,$81.00,Rhode Island,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,8,PayPal,Monthly,$408.00,$54.33,$489.00,96,2,244,0.82%,34,5.88%
17,25,Male,Sunglasses,Accessories,$36.00,Alabama,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,$204.00,$5.33,$240.00,71,1,317,0.32%,17,5.88%
18,53,Male,Dress,Clothing,$38.00,Mississippi,XL,Lavender,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,$73.00,$3.00,$111.00,55,1,317,0.32%,104,0.96%
19,52,Male,Sweater,Clothing,$48.00,Montana,S,Black,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,17,Cash,Weekly,$54.00,$5.67,$102.00,22,0,181,0.00%,16,0.00%
20,66,Male,Pants,Clothing,$90.00,Rhode Island,M,Green,Summer,3.3,Yes,Venmo,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,$71.00,$3.43,$161.00,87,0,231,0.00%,186,0.00%
21,21,Male,Pants,Clothing,$51.00,Louisiana,M,Black,Winter,2.8,Yes,Credit Card,Express,Yes,Yes,50,Cash,Every 3 Months,$115.00,$3.25,$166.00,47,1,190,0.53%,57,1.75%
22,31,Male,Pants,Clothing,$62.00,North Carolina,M,Charcoal,Winter,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,$278.00,$14.78,$340.00,91,0,264,0.00%,194,0.00%
23,56,Male,Pants,Clothing,$37.00,California,M,Peach,Summer,3.2,Yes,Cash,Store Pickup,Yes,Yes,32,Debit Card,Annually,$197.00,$7.09,$234.00,75,1,219,0.46%,36,2.78%
24,31,Male,Pants,Clothing,$88.00,Oklahoma,XL,White,Winter,4.4,Yes,Credit Card,Express,Yes,Yes,40,Credit Card,Weekly,$56.00,$3.51,$144.00,68,2,151,1.32%,50,4.00%
25,18,Male,Jacket,Outerwear,$22.00,Florida,M,Green,Fall,2.9,Yes,Cash,Store Pickup,Yes,Yes,16,Debit Card,Weekly,$523.00,$32.06,$545.00,48,1,342,0.29%,105,0.95%
26,18,Male,Hoodie,Clothing,$25.00,Texas,M,Silver,Summer,3.6,Yes,Bank Transfer,Express,Yes,Yes,14,PayPal,Annually,$177.00,$13.47,$202.00,55,1,239,0.42%,178,0.56%
27,38,Male,Jewelry,Accessories,$20.00,Nevada,M,Red,Spring,3.6,Yes,Cash,Next Day Air,Yes,Yes,13,Credit Card,Annually,$307.00,$23.36,$327.00,14,2,298,0.67%,175,1.14%
28,56,Male,Shorts,Clothing,$56.00,Kentucky,L,Cyan,Summer,5,Yes,Debit Card,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,$383.00,$54.88,$439.00,77,1,255,0.39%,101,0.99%
29,54,Male,Handbag,Accessories,$94.00,North Carolina,M,Gray,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,$106.00,$4.76,$200.00,62,2,274,0.73%,91,2.20%
30,31,Male,Dress,Clothing,$48.00,Wyoming,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,Yes,Yes,14,Credit Card,Weekly,$314.00,$24.13,$362.00,42,1,282,0.35%,149,0.67%
31,57,Male,Jewelry,Accessories,$31.00,North Carolina,L,Black,Winter,4.7,Yes,Bank Transfer,Standard,Yes,Yes,16,Credit Card,Monthly,$266.00,$17.47,$297.00,70,0,324,0.00%,111,0.00%
32,33,Male,Dress,Clothing,$79.00,West Virginia,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,Yes,Yes,45,Venmo,Monthly,$15.00,$2.04,$94.00,33,0,265,0.00%,154,0.00%
33,36,Male,Jacket,Outerwear,$67.00,Kansas,M,Silver,Summer,4.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,37,Venmo,Annually,$419.00,$12.79,$486.00,12,1,281,0.36%,182,0.55%
34,54,Male,Pants,Clothing,$38.00,Colorado,L,Green,Summer,3.3,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,$22.00,$1.30,$60.00,77,2,177,1.13%,44,4.55%
35,36,Male,T-shirt,Clothing,$91.00,North Dakota,L,Violet,Spring,4.6,Yes,Debit Card,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,$516.00,$15.56,$607.00,99,0,225,0.00%,88,0.00%
36,54,Male,Blouse,Clothing,$33.00,Massachusetts,M,Cyan,Summer,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,$336.00,$7.53,$369.00,32,0,337,0.00%,155,0.00%
37,35,Male,T-shirt,Clothing,$69.00,Illinois,M,Maroon,Winter,4.6,Yes,Cash,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,$584.00,$14.51,$653.00,85,0,345,0.00%,20,0.00%
38,35,Male,Jeans,Clothing,$45.00,Indiana,S,Cyan,Summer,2.8,Yes,Debit Card,Store Pickup,Yes,Yes,10,PayPal,Weekly,$214.00,$23.55,$259.00,45,1,206,0.49%,115,0.87%
39,29,Male,Dress,Clothing,$37.00,Florida,M,Red,Winter,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,$165.00,$4.49,$202.00,94,1,231,0.43%,141,0.71%
40,70,Male,Pants,Clothing,$60.00,Arizona,S,Turquoise,Summer,4.2,Yes,Bank Transfer,Express,Yes,Yes,18,Credit Card,Monthly,$487.00,$28.79,$547.00,21,1,316,0.32%,125,0.80%
